Expression	Value	Location	Type	
PRESSURE_Value	9.76179992E+2	0x20000B34	float	
HUMIDITY_Value	6.85999984E+1	0x20000B38	float	
TEMPERATURE_Value	2.51000003E+1	0x20000B3C	float	
AutoInit	'\0' (0x00)	0x20000B28	uint8_t	
DataLoggerActive	'\0' (0x00)	0x20000000	uint8_t	
DataLoggerActive	'\0' (0x00)	0x20000000	uint8_t	
Temp	<array>"25.10"	0x20000C70	char[100]	
Humid	<array>"68.69"	0x20000CD4	char[100]	
Pres	<array>"976.15"	0x20000D38	char[100]	
GSM_RxBuf	<array>""	0x20000098	char[1024]	
[0]	'\0' (0x00)	0x20000098	char	
[1]	'\0' (0x00)	0x20000099	char	
[2]	'\0' (0x00)	0x2000009A	char	
[3]	'\0' (0x00)	0x2000009B	char	
[4]	'\0' (0x00)	0x2000009C	char	
[5]	'\0' (0x00)	0x2000009D	char	
[6]	'\0' (0x00)	0x2000009E	char	
[7]	'\0' (0x00)	0x2000009F	char	
[8]	'\0' (0x00)	0x200000A0	char	
[9]	'\0' (0x00)	0x200000A1	char	
[10]	'\0' (0x00)	0x200000A2	char	
[11]	'\0' (0x00)	0x200000A3	char	
[12]	'\0' (0x00)	0x200000A4	char	
[13]	'\0' (0x00)	0x200000A5	char	
[14]	'\0' (0x00)	0x200000A6	char	
[15]	'\0' (0x00)	0x200000A7	char	
[16]	'\0' (0x00)	0x200000A8	char	
[17]	'\0' (0x00)	0x200000A9	char	
[18]	'\0' (0x00)	0x200000AA	char	
[19]	'\0' (0x00)	0x200000AB	char	
[20]	'\0' (0x00)	0x200000AC	char	
[21]	'\0' (0x00)	0x200000AD	char	
[22]	'\0' (0x00)	0x200000AE	char	
[23]	'\0' (0x00)	0x200000AF	char	
[24]	'\0' (0x00)	0x200000B0	char	
[25]	'\0' (0x00)	0x200000B1	char	
[26]	'\0' (0x00)	0x200000B2	char	
[27]	'\0' (0x00)	0x200000B3	char	
[28]	'\0' (0x00)	0x200000B4	char	
[29]	'\0' (0x00)	0x200000B5	char	
[30]	'\0' (0x00)	0x200000B6	char	
[31]	'\0' (0x00)	0x200000B7	char	
[32]	'\0' (0x00)	0x200000B8	char	
[33]	'\0' (0x00)	0x200000B9	char	
[34]	'\0' (0x00)	0x200000BA	char	
[35]	'u' (0x75)	0x200000BB	char	
[36]	'a' (0x61)	0x200000BC	char	
[37]	'p' (0x70)	0x200000BD	char	
[38]	'p' (0x70)	0x200000BE	char	
[39]	'.' (0x2E)	0x200000BF	char	
[40]	'c' (0x63)	0x200000C0	char	
[41]	'o' (0x6F)	0x200000C1	char	
[42]	'm' (0x6D)	0x200000C2	char	
[43]	'"' (0x22)	0x200000C3	char	
[44]	',' (0x2C)	0x200000C4	char	
[45]	'8' (0x38)	0x200000C5	char	
[46]	'0' (0x30)	0x200000C6	char	
[47]	'\r' (0x0D)	0x200000C7	char	
[48]	'\r' (0x0D)	0x200000C8	char	
[49]	'\n' (0x0A)	0x200000C9	char	
[50]	'+' (0x2B)	0x200000CA	char	
[51]	'C' (0x43)	0x200000CB	char	
[52]	'M' (0x4D)	0x200000CC	char	
[53]	'E' (0x45)	0x200000CD	char	
[54]	' ' (0x20)	0x200000CE	char	
[55]	'E' (0x45)	0x200000CF	char	
[56]	'R' (0x52)	0x200000D0	char	
[57]	'R' (0x52)	0x200000D1	char	
[58]	'O' (0x4F)	0x200000D2	char	
[59]	'R' (0x52)	0x200000D3	char	
[60]	':' (0x3A)	0x200000D4	char	
[61]	' ' (0x20)	0x200000D5	char	
[62]	'N' (0x4E)	0x200000D6	char	
[63]	'e' (0x65)	0x200000D7	char	
[64]	't' (0x74)	0x200000D8	char	
[65]	'w' (0x77)	0x200000D9	char	
[66]	'o' (0x6F)	0x200000DA	char	
[67]	'r' (0x72)	0x200000DB	char	
[68]	'k' (0x6B)	0x200000DC	char	
[69]	' ' (0x20)	0x200000DD	char	
[70]	'e' (0x65)	0x200000DE	char	
[71]	'r' (0x72)	0x200000DF	char	
[72]	'r' (0x72)	0x200000E0	char	
[73]	'o' (0x6F)	0x200000E1	char	
[74]	'r' (0x72)	0x200000E2	char	
[75]	'\r' (0x0D)	0x200000E3	char	
[76]	'\n' (0x0A)	0x200000E4	char	
[77]	'\0' (0x00)	0x200000E5	char	
[78]	'\0' (0x00)	0x200000E6	char	
[79]	'\0' (0x00)	0x200000E7	char	
[80]	'\0' (0x00)	0x200000E8	char	
[81]	'\0' (0x00)	0x200000E9	char	
[82]	'\0' (0x00)	0x200000EA	char	
[83]	'\0' (0x00)	0x200000EB	char	
[84]	'\0' (0x00)	0x200000EC	char	
[85]	'\0' (0x00)	0x200000ED	char	
[86]	'\0' (0x00)	0x200000EE	char	
[87]	'\0' (0x00)	0x200000EF	char	
[88]	'\0' (0x00)	0x200000F0	char	
[89]	'\0' (0x00)	0x200000F1	char	
[90]	'\0' (0x00)	0x200000F2	char	
[91]	'\0' (0x00)	0x200000F3	char	
[92]	'\0' (0x00)	0x200000F4	char	
[93]	'\0' (0x00)	0x200000F5	char	
[94]	'\0' (0x00)	0x200000F6	char	
[95]	'\0' (0x00)	0x200000F7	char	
[96]	'\0' (0x00)	0x200000F8	char	
[97]	'\0' (0x00)	0x200000F9	char	
[98]	'\0' (0x00)	0x200000FA	char	
[99]	'\0' (0x00)	0x200000FB	char	
[100]	'\0' (0x00)	0x200000FC	char	
[101]	'\0' (0x00)	0x200000FD	char	
[102]	'\0' (0x00)	0x200000FE	char	
